MNE,TST_GRP_CD,total_clients,success_count,success_rate,lift,p_value,ci_lower,ci_upper
VCN,TG4,1999540,9398,0.47,0.18,0.0001,0.15,0.21
VCN,TG7,111408,323,0.29,0,1.0,0,0
VDA,TG4,894779,12169,1.36,0.31,0.0001,0.24,0.38
VDA,TG7,77817,817,1.05,0,1.0,0,0
VDT,TG4,132015,80614,61.05,4.65,0.0001,3.5,5.8
VDT,TG7,14703,8293,56.40,0,1.0,0,0
VUI,TG4,158895,53492,33.67,0.78,0.2053,0.0,1.56
VUI,TG7,8336,2741,32.89,0,1.0,0,0
VUT,TG4,784849,108800,13.86,0.02,0.9094,-0.31,0.35
VUT,TG7,41307,5717,13.84,0,1.0,0,0
VAW,TG4,412568,24218,5.87,2.62,0.0001,2.1,3.14
VAW,TG7,103137,3353,3.25,0,1.0,0,0
