MNE,COHORT,expected_ratio,actual_ratio,chi2,p_value,warning
VCN,2025Q1,0.95,0.947,342.54,0.0,YES
VCN,2025Q2,0.95,0.947,342.54,0.0,YES
VCN,2025Q3,0.95,0.947,342.54,0.0,YES
VCN,2025Q4,0.95,0.947,342.54,0.0,YES
VDA,2025Q3,0.95,0.920,18439.91,0.0,YES
VDA,2025Q4,0.95,0.920,18439.91,0.0,YES
VDT,2025Q1,0.90,0.900,0.07,0.786,NO
VDT,2025Q2,0.90,0.900,0.07,0.786,NO
VDT,2025Q3,0.90,0.900,0.07,0.786,NO
VDT,2025Q4,0.90,0.900,0.07,0.786,NO
VUI,2025Q1,0.95,0.950,0.08,0.7744,NO
VUI,2025Q2,0.95,0.950,0.08,0.7744,NO
VUI,2025Q3,0.95,0.950,0.08,0.7744,NO
VUI,2025Q4,0.95,0.950,0.08,0.7744,NO
VUT,2025Q2,0.95,0.950,0.00,0.9968,NO
VAW,2025Q2,0.80,0.800,0.00,0.9889,NO
VAW,2025Q3,0.80,0.800,0.00,0.9889,NO
VAW,2025Q4,0.80,0.800,0.00,0.9889,NO
